measTimeStampRf,du-id,nrCellIdentity,prb_usage,targetTput,throughput,ue-id,x,y,rsrp,rsrq,rssinr,nbCellIdentity_0,nbCellIdentity_1,nbCellIdentity_2,nbCellIdentity_3,nbCellIdentity_4,rsrp_nb0,rsrq_nb0,rssinr_nb0,rsrp_nb1,rsrq_nb1,rssinr_nb1,rsrp_nb2,rsrq_nb2,rssinr_nb2,rsrp_nb3,rsrq_nb3,rssinr_nb3,rsrp_nb4,rsrq_nb4,rssinr_nb4,Anomaly,Degradation
2021-06-25T11:42:58.835,1005,c5/B13,91.0,0.75,0.075787478748627,Car-3,1008.0,214.4,-87.40985213512171,-10.793244052262551,34.818935317681664,c5/B2,c5/N77,c4/B13,c1/B13,c6/B13,-93.28436189115844,-10.797346789936825,28.944425561644955,-85.40515389737892,-10.792714812169036,36.82363355542447,-93.6794326377799,-10.797873480845368,28.549354815023484,-95.99596950204084,-10.802139742800124,26.232817950762534,-98.326477035577,-10.809459449734677,23.9023104172264,1,Throughput
2021-06-25T11:42:58.835,1003,c3/B13,45.0,0.1,0.07624891707102,Waiting passenger 1,-512.0,-913.0,-118.22971706732746,-40.79354144386467,13.999070385475926,c3/N77,c2/B13,c3/B2,c10/B13,c1/B13,-116.22501882958473,-40.79290227591768,16.003768623218654,-119.36398537359848,-40.79405733388117,12.8648020792049,-124.10422682336424,-40.79849580790426,8.12456062943916,-125.37447229239685,-40.80076415253248,6.854315160406532,-126.13155166708712,-40.8024668336771,6.097235785716252,0,
2021-06-25T11:42:58.835,1010,c10/N77,48.0,0.1,0.1,Waiting passenger 8,-1269.0,-1344.0,-114.80158864270824,-40.79259774161346,17.427198810095135,c10/B13,c9/N77,c10/B2,c2/N77,c3/N77,-116.806286880451,-40.79305832826978,15.422500572352376,-120.77793213177752,-40.79492090662244,11.45085532102586,-122.68079663648771,-40.79662910255398,9.54799081631564,-122.8330111327074,-40.796800814154615,9.395776320095983,-124.97493873408554,-40.79997811671099,7.253848718717838,0,
2021-06-25T11:42:58.845,1009,c9/N77,52.0,0.1,0.1,Waiting passenger 6,-1593.0,-877.0,-116.15870288554056,-40.792885763093366,16.07008456726281,c9/B13,c2/N77,c8/N77,c10/N77,c9/B2,-118.1634011232833,-40.79351524830079,14.06538632952008,-122.07261488126348,-40.7959999878686,10.156172571539903,-122.6179925680168,-40.79655998727439,9.610794884786593,-123.04228739286958,-40.797046928553975,9.186500059933778,-124.0379108793201,-40.798394606382985,8.190876573483319,0,
2021-06-25T11:42:58.855,1001,c1/B13,30.0,0.75,0.030657043087466,Car-2,154.0,-2.0,-79.50360475543991,-10.792044335754314,42.72518269736349,c1/B2,c1/N77,c4/B13,c5/B13,c6/B13,-85.37811451147664,-10.792709212114644,36.85067294132675,-77.49890651769714,-10.791958607141597,44.72988093510624,-94.574166723258,-10.79925892049664,27.65462072954539,-94.59928055791536,-10.799302068474889,27.629506894888028,-96.7314665291227,-10.804042857506078,25.49732092368068,1,Throughput RSRP
2021-06-25T11:42:58.855,1005,c5/B13,91.0,0.75,0.075769979233571,Car-3,1008.0,214.0,-87.41789489659965,-10.793246705466077,34.81089255620372,c5/B2,c5/N77,c4/B13,c1/B13,c6/B13,-93.2924046526364,-10.797357041990892,28.936382800166975,-85.4131966588569,-10.79271648462124,36.81559079394647,-93.67514119246188,-10.797867498826973,28.553646260341488,-95.99526877227017,-10.802138078617087,26.23351868053321,-98.3281881763064,-10.809466389986042,23.900599276496983,1,Throughput
2021-06-25T11:42:58.855,1009,c9/B13,45.0,0.1,0.079705831365817,Waiting passenger 10,-1622.0,-1334.0,-117.56363787749667,-40.79329564502473,14.6651495753067,c9/N77,c10/B13,c9/B2,c2/B13,c8/B13,-115.55893963975392,-40.79274733383865,16.669847813049465,-121.44042205430902,-40.795432945327306,10.788365398494353,-123.43814763353342,-40.797546142623794,8.79063981926997,-126.63655955740816,-40.80377884805287,5.592227895395227,-128.24160662425692,-40.80911861723644,3.9871808285464474,0,
2021-06-25T11:42:58.865,1002,c2/N77,50.0,0.1,0.1,Waiting passenger 7,-570.0,-841.0,-115.50312219373316,-40.79273539658544,16.725665259070226,c2/B13,c3/N77,c2/B2,c10/N77,c1/N77,-117.50782043147592,-40.79327670765106,14.720967021327446,-117.8386946368766,-40.79339260212514,14.390092815926767,-123.38233018751264,-40.79747297004073,8.84645726529073,-123.58756949017987,-40.79774670952435,8.641217962623493,-123.8670475510083,-40.79814085961471,8.361739901795076,0,
2021-06-25T11:42:58.865,1002,c2/B13,91.0,0.75,0.079941281712185,Car-1,-993.0,-817.2,-85.50088865802923,-10.792734922100507,36.72789879477413,c2/B2,c2/N77,c10/B13,c3/B13,c9/B13,-91.375398414066,-10.795379164403954,30.85338903873737,-83.49619042028651,-10.79239388793266,38.732597032516864,-94.37113983977156,-10.798919098081498,27.85764761303181,-94.84343525540064,-10.799734790223257,27.38535219740273,-95.6639229576798,-10.801380421024874,26.56486449512359,1,Throughput
2021-06-25T11:42:58.865,1001,c1/B13,30.0,0.75,0.030665106591052,Car-2,153.79999999999995,-2.0,-79.49236639486107,-10.792043736515753,42.73642105794232,c1/B2,c1/N77,c4/B13,c5/B13,c6/B13,-85.36687615089778,-10.7927068948037,36.86191130190561,-77.48766815711828,-10.791958229448992,44.74111929568509,-94.57570510165245,-10.799261556422806,27.65308235115093,-94.60081006760232,-10.799304704374864,27.627977385201053,-96.7312540258548,-10.804042259920807,25.497533426948586,1,Throughput RSRP
